Code;name;PBS2020_sum;PBS en 2020 - estimation (*=oui);PBS2020_mean;PBS moyenne en 2020 - estimation (*=oui);SAU2020_mean;SAU moyenne en 2020 - estimation (*=oui);SAU moyenne : variation absolue 2020-2010;SAU moyenne : variation absolue 2020-2010 - estimation (*=oui);SAU en 2020;SAU en 2020 - estimation (*=oui);Exploitation2020
01143;Divonne-les-Bains;1068;;152.6;;94.7;;33.4;;663;;7
01145;Dompierre-sur-Veyle;2447;;136;;86.6;;32.6;;1558;;18
01146;Dompierre-sur-Chalaronne;640;;106.7;;63.9;;-36.3;;384;;6
01147;Domsure;3956;;359.7;;125.8;;-1.7;;1384;;11
01148;Dortan;241;;120.4;;119.2;;20.9;*;238;;2
01149;Douvres;110;;109.5;;175.2;;21.2;;175;;1
01150;Drom;926;;185.3;;112.4;;51.7;;562;;5
01151;Druillat;968;;69.1;;54.4;;27.1;;761;;14
01152;Échallon;92;;23.1;;33.6;;-4.3;;135;;4
01153;Échenevex;269;;53.8;;65.5;;-13.1;;327;;5
01155;Évosges;312;;104;;148.2;;14.7;;445;;3
01156;Faramans;664;;83;;88.9;;-43.9;;711;;8
01157;Fareins;391;;48.8;;46.5;;-1.1;;372;;8
01158;Farges;0;;N/A;;N/A;;N/A;;0;;0
01159;Feillens;6375;;398.4;;17;;8.3;;272;;16
01160;Ferney-Voltaire;168;;84.2;;143;;14;;286;;2
01162;Flaxieu;508;;127.1;;13;;-2.9;;52;;4
01163;Foissiat;9980;;195.7;;65.2;;7.5;;3327;;51
01165;Francheleins;1637;;163.7;;94.8;;51.9;;948;;10
01166;Frans;415;;103.7;;54.1;;1.6;;217;;4
01167;Garnerans;376;;94.1;;106.7;;41.3;;427;;4
01169;Genouilleux;140;;46.7;;46.3;;12.2;;139;;3
01170;Béard-Géovreissiat;21;;20.9;;85;;-15.3;;85;;1
01171;Géovreisset;0;;N/A;;N/A;;N/A;;0;;0
01173;Gex;459;;91.7;;88.5;;34.7;;443;;5
01174;Giron;90;;89.6;;113.9;;48;;114;;1
01175;Gorrevod;660;;165;;65.1;;23.4;;261;;4
01177;Grand-Corent;223;*;111.3;*;87.8;*;15.7;*;176;*;2
01179;Grièges;963;;137.5;;81.8;;43.8;;573;;7
01180;Grilly;384;;128.1;;112.2;;40.2;;337;;3
01181;Groissiat;213;;213.5;;187;;12;;187;;1
01183;Guéreins;535;;89.2;;67.5;;-13.3;;405;;6
01184;Hautecourt-Romanèche;735;;147;;160.1;;-27.3;;800;;5
01185;Plateau d'Hauteville;1373;;62.4;;101.6;;16.7;;2236;;22
01187;Haut Valromey;2905;;145.3;;178.9;;47.7;;3578;;20
01188;Illiat;3351;;197.1;;108.4;;27.8;;1843;;17
01189;Injoux-Génissiat;244;;34.9;;56;;-20.3;;392;;7
01190;Innimond;378;;94.6;;108.6;;41.8;;435;;4
01191;Izenave;480;;239.8;;140.6;;38;;281;;2
